dataset,synthetic,validation,stage,stage_order,stage_label,uses_imagery,model,mae,rmse,r2,bias,relative_mae,n,spearman_within,spearman_pooled,fold_mae_mean,fold_mae_sd,n_folds,coverage,interval_width,coverage_min_group,interval_calibration,seconds,group_mae,delta_mae_vs_mean,timing_passes_mean,delta_mae_vs_records,pct_mae_reduction_vs_records,delta_mae_vs_best_records,best_records_model,cqr_coverage,cqr_width,delta_mae_ci_low,delta_mae_ci_high,group_wins,n_groups,timing_share_with_imagery,timing_acq_date_min,timing_acq_date_median,timing_acq_date_max,timing_dap_min,timing_dap_median,timing_dap_max,timing_lead_days_median,timing_lead_days_min,timing_harvest_basis
SYNTHETIC-fixture,True,site,tp3,3,+ TP1-TP3,True,ridge,89.3329,106.4407,-1.7496,20.6481,0.8046,1479,0.2955,-0.4615,88.5236,51.3687,3,0.6416,293.1724,0.0139,site,0.2400,"{""Ames-2022"": 44.4709, ""Crawfordsville-2022"": 60.5236, ""Lincoln-2022"": 160.5763}",-7.6411,2.9621,4.5459,4.8423,4.5459,ridge,,,3.7992,5.3484,2.0000,3.0000,0.9899,2022-08-02,2022-08-10,2022-09-03,80.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp3,3,+ TP1-TP3,True,random_forest,57.4209,66.7344,-0.0808,3.0770,0.5172,1479,0.0679,0.0725,57.0951,20.6554,3,0.8100,256.7642,0.4425,site,4.6300,"{""Ames-2022"": 39.8329, ""Crawfordsville-2022"": 45.3184, ""Lincoln-2022"": 86.134}",24.2708,2.9621,43.0076,42.8241,36.4578,ridge,,,41.9065,44.0866,3.0000,3.0000,0.9899,2022-08-02,2022-08-10,2022-09-03,80.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp3,3,+ TP1-TP3,True,hist_gradient_boosting,77.2377,86.0602,-0.7974,-8.6000,0.6957,1479,-0.0117,-0.1307,77.0000,23.1748,3,0.7661,261.9157,0.3175,site,6.0800,"{""Ames-2022"": 86.3081, ""Crawfordsville-2022"": 45.1314, ""Lincoln-2022"": 99.5603}",4.4540,2.9621,21.5689,21.8294,16.6410,ridge,,,20.5890,22.5395,2.0000,3.0000,0.9899,2022-08-02,2022-08-10,2022-09-03,80.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp3,3,+ TP1-TP3,True,catboost,53.8829,63.8657,0.0101,8.5748,0.4853,1479,0.0596,0.2029,53.5223,23.3294,3,0.8161,250.3965,0.4603,site,10.8200,"{""Ames-2022"": 30.2224, ""Crawfordsville-2022"": 44.9429, ""Lincoln-2022"": 85.4015}",27.8088,2.9621,45.2952,45.6706,39.9959,ridge,0.8066,279.5249,43.9829,46.5014,3.0000,3.0000,0.9899,2022-08-02,2022-08-10,2022-09-03,80.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp4,4,+ TP1-TP4,True,ridge,112.5362,119.1969,-2.4481,-59.4984,1.0136,1479,0.1573,-0.5221,112.9197,26.6171,3,0.8715,335.1440,0.7718,site,0.2300,"{""Ames-2022"": 118.6694, ""Crawfordsville-2022"": 142.2614, ""Lincoln-2022"": 77.8282}",-30.8444,3.9520,-18.6574,-19.8739,-18.6574,ridge,,,-19.4472,-17.9004,1.0000,3.0000,0.9899,2022-08-31,2022-09-11,2022-09-13,101.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp4,4,+ TP1-TP4,True,random_forest,92.7855,104.0572,-1.6278,-5.1207,0.8357,1479,0.1759,-0.7853,92.3816,39.8172,3,0.6396,262.4483,0.0417,site,4.7400,"{""Ames-2022"": 36.4841, ""Crawfordsville-2022"": 114.4376, ""Lincoln-2022"": 126.223}",-11.0937,3.9520,7.6431,7.6105,1.0933,ridge,,,6.4043,8.8163,1.0000,3.0000,0.9899,2022-08-31,2022-09-11,2022-09-13,101.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp4,4,+ TP1-TP4,True,hist_gradient_boosting,122.5962,126.4145,-2.8783,-33.4278,1.1042,1479,0.1278,-0.5183,122.4943,12.9290,3,0.5774,269.7710,0.0159,site,5.5100,"{""Ames-2022"": 104.2366, ""Crawfordsville-2022"": 132.4778, ""Lincoln-2022"": 130.7686}",-40.9044,3.9520,-23.7895,-24.0769,-28.7174,ridge,,,-25.0442,-22.5376,0.0000,3.0000,0.9899,2022-08-31,2022-09-11,2022-09-13,101.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp4,4,+ TP1-TP4,True,catboost,94.6687,104.3109,-1.6406,-14.8195,0.8527,1479,0.2192,-0.7829,94.4037,35.6643,3,0.6112,259.2972,0.0853,site,11.2900,"{""Ames-2022"": 44.1548, ""Crawfordsville-2022"": 123.2963, ""Lincoln-2022"": 115.76}",-12.9770,3.9520,4.5094,4.5468,-0.7899,ridge,0.6531,264.2567,3.2434,5.6836,1.0000,3.0000,0.9899,2022-08-31,2022-09-11,2022-09-13,101.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp5,5,+ TP1-TP5,True,ridge,132.0912,140.5320,-3.7929,-78.2641,1.1897,1479,0.2048,-0.5042,132.6834,38.9586,3,0.6728,396.2289,0.0062,site,0.4200,"{""Ames-2022"": 148.967, ""Crawfordsville-2022"": 170.1244, ""Lincoln-2022"": 78.9588}",-50.3995,4.9419,-38.2124,-40.7040,-38.2124,ridge,,,-38.8753,-37.5291,1.0000,3.0000,0.9899,2022-09-11,2022-09-19,2022-10-01,112.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp5,5,+ TP1-TP5,True,random_forest,112.3940,116.8977,-2.3163,-27.3753,1.0123,1479,0.2698,-0.5850,112.2434,16.6344,3,0.6160,253.7932,0.0198,site,4.4600,"{""Ames-2022"": 88.7325, ""Crawfordsville-2022"": 123.3047, ""Lincoln-2022"": 124.693}",-30.7023,4.9419,-11.9654,-11.9144,-18.5152,ridge,,,-13.1825,-10.7431,1.0000,3.0000,0.9899,2022-09-11,2022-09-19,2022-10-01,112.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp5,5,+ TP1-TP5,True,hist_gradient_boosting,122.2451,125.5361,-2.8246,-36.6223,1.1010,1479,0.2620,-0.4781,122.2027,5.8723,3,0.6166,257.1731,0.0139,site,5.6800,"{""Ames-2022"": 113.9414, ""Crawfordsville-2022"": 127.0678, ""Lincoln-2022"": 125.599}",-40.5533,4.9419,-23.4384,-23.7215,-28.3663,ridge,,,-24.7913,-22.1890,0.0000,3.0000,0.9899,2022-09-11,2022-09-19,2022-10-01,112.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp5,5,+ TP1-TP5,True,catboost,107.2000,112.3622,-2.0640,-29.7836,0.9655,1479,0.2066,-0.6887,107.1115,20.6691,3,0.6166,251.6246,0.0456,site,11.0000,"{""Ames-2022"": 79.2003, ""Crawfordsville-2022"": 128.5863, ""Lincoln-2022"": 113.5479}",-25.5082,4.9419,-8.0219,-8.0883,-13.3212,ridge,0.6160,267.2311,-9.2095,-6.9051,1.0000,3.0000,0.9899,2022-09-11,2022-09-19,2022-10-01,112.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp6,6,+ TP1-TP6,True,ridge,146.4448,162.4505,-5.4046,-72.8747,1.3190,1479,0.2167,-0.4762,146.9278,64.3398,3,0.4976,305.8882,0.0185,site,0.5300,"{""Ames-2022"": 237.6207, ""Crawfordsville-2022"": 95.2161, ""Lincoln-2022"": 107.9466}",-64.7530,5.9317,-52.5660,-55.9935,-52.5660,ridge,,,-53.3869,-51.7883,0.0000,3.0000,0.9899,2022-09-24,2022-09-27,2022-10-09,125.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp6,6,+ TP1-TP6,True,random_forest,111.9519,115.6481,-2.2458,-30.7320,1.0083,1479,0.3185,-0.4621,111.8664,7.1499,3,0.6302,249.3954,0.0218,site,4.5700,"{""Ames-2022"": 102.159, ""Crawfordsville-2022"": 114.2691, ""Lincoln-2022"": 119.1709}",-30.2602,5.9317,-11.5234,-11.4742,-18.0732,ridge,,,-12.8074,-10.3165,0.0000,3.0000,0.9899,2022-09-24,2022-09-27,2022-10-09,125.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp6,6,+ TP1-TP6,True,hist_gradient_boosting,120.1672,123.5771,-2.7062,-37.8318,1.0823,1479,0.2505,-0.4732,120.1584,2.3283,3,0.6160,252.7209,0.0278,site,5.8700,"{""Ames-2022"": 117.0485, ""Crawfordsville-2022"": 122.6501, ""Lincoln-2022"": 120.7765}",-38.4754,5.9317,-21.3605,-21.6185,-26.2884,ridge,,,-22.7449,-20.0715,0.0000,3.0000,0.9899,2022-09-24,2022-09-27,2022-10-09,125.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp6,6,+ TP1-TP6,True,catboost,109.3200,113.1839,-2.1090,-30.6614,0.9846,1479,0.2276,-0.5023,109.2412,12.8675,3,0.6491,247.3914,0.0655,site,11.2400,"{""Ames-2022"": 91.3315, ""Crawfordsville-2022"": 120.987, ""Lincoln-2022"": 115.4051}",-27.6282,5.9317,-10.1419,-10.2259,-15.4412,ridge,0.5740,241.4233,-11.3517,-9.0344,1.0000,3.0000,0.9899,2022-09-24,2022-09-27,2022-10-09,125.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,field,records,0,Records only,False,catboost,60.4927,74.9268,-0.3625,-7.5146,0.5448,1479,-0.2128,0.1392,67.1590,35.5060,5,,,,,1.0900,"{""Ames-2022"": 67.5724, ""Crawfordsville-2022"": 38.1729, ""Lincoln-2022"": 75.2629}",,0.0000,0.0000,0.0000,0.0000,catboost,,,,,,,,,,,,,,,,
SYNTHETIC-fixture,True,field,tp1,1,+ TP1,True,catboost,52.8212,67.3115,-0.0996,-4.8477,0.4757,1479,-0.1664,0.2863,59.4485,34.6645,5,,,,,5.7800,"{""Ames-2022"": 60.6215, ""Crawfordsville-2022"": 32.5711, ""Lincoln-2022"": 64.8914}",,0.9824,7.6714,12.6816,7.6714,catboost,,,6.8363,8.4820,3.0000,3.0000,0.9824,2022-07-10,2022-07-15,2022-07-18,54.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,field,tp2,2,+ TP1-TP2,True,catboost,29.2922,36.6013,0.6749,5.0148,0.2638,1479,-0.0764,0.7973,31.7973,12.4359,5,,,,,6.0200,"{""Ames-2022"": 33.9829, ""Crawfordsville-2022"": 19.9229, ""Lincoln-2022"": 33.8317}",,1.9723,31.2004,51.5772,31.2004,catboost,,,29.3232,33.0554,3.0000,3.0000,0.9899,2022-07-20,2022-07-23,2022-08-06,62.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,field,tp3,3,+ TP1-TP3,True,catboost,26.1281,32.4735,0.7441,4.0990,0.2353,1479,0.0155,0.8216,28.0078,9.2048,5,,,,,6.0800,"{""Ames-2022"": 29.1462, ""Crawfordsville-2022"": 20.3424, ""Lincoln-2022"": 28.8139}",,2.9621,34.3645,56.8078,34.3645,catboost,,,32.3912,36.3877,3.0000,3.0000,0.9899,2022-08-02,2022-08-10,2022-09-03,80.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,field,tp4,4,+ TP1-TP4,True,catboost,25.1998,31.1033,0.7652,1.6205,0.2270,1479,0.0703,0.8276,26.3494,5.9361,5,,,,,6.1000,"{""Ames-2022"": 27.8741, ""Crawfordsville-2022"": 21.1335, ""Lincoln-2022"": 26.5531}",,3.9520,35.2928,58.3423,35.2928,catboost,,,33.3164,37.2319,3.0000,3.0000,0.9899,2022-08-31,2022-09-11,2022-09-13,101.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,field,tp5,5,+ TP1-TP5,True,catboost,26.6067,32.8956,0.7374,1.0247,0.2396,1479,0.1022,0.8245,28.4893,8.9167,5,,,,,6.0200,"{""Ames-2022"": 27.6753, ""Crawfordsville-2022"": 22.757, ""Lincoln-2022"": 29.3014}",,4.9419,33.8860,56.0167,33.8860,catboost,,,31.8780,35.8042,3.0000,3.0000,0.9899,2022-09-11,2022-09-19,2022-10-01,112.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,field,tp6,6,+ TP1-TP6,True,catboost,25.8310,31.9192,0.7527,0.3995,0.2327,1479,0.1042,0.8323,27.5053,8.2684,5,,,,,6.3600,"{""Ames-2022"": 28.1489, ""Crawfordsville-2022"": 20.9854, ""Lincoln-2022"": 28.2832}",,5.9317,34.6616,57.2989,34.6616,catboost,,,32.7303,36.5126,3.0000,3.0000,0.9899,2022-09-24,2022-09-27,2022-10-09,125.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,random,records,0,Records only,False,catboost,32.6751,42.0118,0.5717,-0.0965,0.2943,1479,0.1482,0.7334,32.6749,1.8880,5,,,,,1.0800,"{""Ames-2022"": 40.8575, ""Crawfordsville-2022"": 19.0449, ""Lincoln-2022"": 37.9663}",,0.0000,0.0000,0.0000,0.0000,catboost,,,,,,,,,,,,,,,,
SYNTHETIC-fixture,True,random,tp1,1,+ TP1,True,catboost,28.3996,36.3437,0.6794,-0.8668,0.2558,1479,0.1668,0.8185,28.4003,1.2376,5,,,,,5.7200,"{""Ames-2022"": 35.8777, ""Crawfordsville-2022"": 18.8683, ""Lincoln-2022"": 30.4026}",,0.9824,4.2755,13.0849,4.2755,catboost,,,3.4878,5.0493,3.0000,3.0000,0.9824,2022-07-10,2022-07-15,2022-07-18,54.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,random,tp2,2,+ TP1-TP2,True,catboost,20.0061,25.4695,0.8426,-0.1202,0.1802,1479,0.3856,0.8839,20.0064,0.2361,5,,,,,6.1700,"{""Ames-2022"": 23.2427, ""Crawfordsville-2022"": 18.2323, ""Lincoln-2022"": 18.5961}",,1.9723,12.6690,38.7727,12.6690,catboost,,,11.3399,13.9953,3.0000,3.0000,0.9899,2022-07-20,2022-07-23,2022-08-06,62.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,random,tp3,3,+ TP1-TP3,True,catboost,19.2958,24.3215,0.8564,-0.0358,0.1738,1479,0.4317,0.8914,19.2958,0.4793,5,,,,,6.1400,"{""Ames-2022"": 22.5302, ""Crawfordsville-2022"": 17.9088, ""Lincoln-2022"": 17.5136}",,2.9621,13.3793,40.9465,13.3793,catboost,,,12.0956,14.7173,3.0000,3.0000,0.9899,2022-08-02,2022-08-10,2022-09-03,80.0000,83.0000,104.0000,66.0000,42.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,random,tp4,4,+ TP1-TP4,True,catboost,18.9056,23.7417,0.8632,-0.1251,0.1703,1479,0.4484,0.8940,18.9055,0.4905,5,,,,,5.8700,"{""Ames-2022"": 21.6238, ""Crawfordsville-2022"": 18.253, ""Lincoln-2022"": 16.9109}",,3.9520,13.7696,42.1408,13.7696,catboost,,,12.4992,15.1167,3.0000,3.0000,0.9899,2022-08-31,2022-09-11,2022-09-13,101.0000,112.0000,125.0000,34.0000,32.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,random,tp5,5,+ TP1-TP5,True,catboost,19.0764,24.1109,0.8589,-0.1497,0.1718,1479,0.4343,0.8908,19.0763,0.3329,5,,,,,6.0500,"{""Ames-2022"": 21.7165, ""Crawfordsville-2022"": 18.6203, ""Lincoln-2022"": 16.967}",,4.9419,13.5987,41.6180,13.5987,catboost,,,12.3226,14.9124,3.0000,3.0000,0.9899,2022-09-11,2022-09-19,2022-10-01,112.0000,120.0000,143.0000,26.0000,14.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,random,tp6,6,+ TP1-TP6,True,catboost,19.1400,24.0572,0.8595,0.0767,0.1724,1479,0.4327,0.8922,19.1400,0.4240,5,,,,,6.4800,"{""Ames-2022"": 21.7024, ""Crawfordsville-2022"": 18.2875, ""Lincoln-2022"": 17.4894}",,5.9317,13.5352,41.4234,13.5352,catboost,,,12.2058,14.8457,3.0000,3.0000,0.9899,2022-09-24,2022-09-27,2022-10-09,125.0000,128.0000,151.0000,18.0000,6.0000,assumed 10-15 each season
